"title","year","genre","duration","metacritic","rating","votes","worldwide_gross_income","user_review","critics_review"
"Logan's Run",1976,"Action",119,NA,6.8,36796,NA,288,152
"Marathon Man",1976,"Crime",125,NA,7.5,41412,21.70902,191,92
"Network",1976,"Drama",121,NA,8.1,92994,23.690757,396,175
"The Omen",1976,"Drama",111,NA,7.6,73547,60.92298,362,190
"The Outlaw Josey Wales",1976,"Western",135,NA,7.9,46581,31.8,226,53
"Rocky",1976,"Drama",120,NA,8.1,320993,117.235147,705,184
"Taxi Driver",1976,"Crime",114,93,8.4,449991,28.441292,1178,289
"Annie Hall",1977,"Comedy",93,NA,8.1,172131,38.287178,538,150
"A Bridge Too Far",1977,"Drama",175,NA,7.4,37616,50.75,255,56
"Close Encounters of the Third Kind",1977,"Drama",138,91,7.7,128508,306.899494,440,230
"The Rescuers",1977,"Animation",78,NA,6.9,38083,71.215869,99,67
"Saturday Night Fever",1977,"Drama",118,77,6.8,49658,237.113184,256,103
"Slap Shot",1977,"Comedy",123,NA,7.4,26857,28,166,57
"Smokey and the Bandit",1977,"Action",96,NA,6.8,30233,126.737428,201,84
"The Spy Who Loved Me",1977,"Action",125,NA,7.1,69472,46.838673,325,105
"Star Wars: Episode IV - A New Hope",1977,"Action",121,92,8.7,773938,775.768912,1852,192
"Suspiria",1977,"Horror",99,NA,7.5,41523,0.021248,605,274
"Days of Heaven",1978,"Drama",94,93,8,33888,3.475702,221,121
"The Deer Hunter",1978,"Drama",183,73,8.2,211678,49.074243,1140,139
"Dawn of the Dead",1978,"Drama",127,NA,8,83383,NA,718,148
"Grease",1978,"Musical",110,70,7.2,153064,397.217505,418,109
"Halloween",1978,"Horror",91,85,7.9,144009,47,1438,417
"Invasion of the Body Snatchers",1978,"Horror",115,NA,7.4,34043,24.946533,213,199
"Jaws 2",1978,"Horror",116,NA,5.7,46936,187.884007,325,109
"Midnight Express",1978,"Biography",121,NA,7.7,49941,35,298,69
"Animal House",1978,"Comedy",109,82,7.6,84834,141.6,304,103
"Superman",1978,"Action",143,86,7.3,115208,300.451667,564,207
"Up in Smoke",1978,"Comedy",86,NA,7,26623,44.364244,86,31
"Alien",1979,"Horror",117,83,8.5,502112,108.110316,1448,464
"The Amityville Horror",1979,"Drama",117,NA,6.2,25807,86.432,304,130
"Apocalypse Now",1979,"Drama",147,90,8.5,408025,91.968688,1205,305
"Being There",1979,"Comedy",130,NA,8,48509,30.177511,335,129
"Cannibal Holocaust",1980,"Adventure",95,NA,6,35157,NA,570,238
"Escape from Alcatraz",1979,"Action",112,NA,7.6,80153,43.004381,177,76
"The Jerk",1979,"Comedy",94,NA,7.2,40158,73.691419,145,75
"Kramer vs. Kramer",1979,"Drama",105,77,7.8,89315,106.26,223,95
"Life of Brian",1979,"Comedy",94,75,8.1,245607,20.73877,394,112
"Mad Max",1979,"Action",88,67,7,135753,8.771757,373,243
"Manhattan",1979,"Comedy",96,82,8,96268,40.194067,272,116
"Moonraker",1979,"Action",126,NA,6.3,62790,210.308099,352,107
"Rocky II",1979,"Drama",119,NA,7.1,117237,85.18216,221,91
"Stalker",1979,"Drama",162,NA,8.2,60019,0.303815,425,160
"Star Trek: The Motion Picture",1979,"Adventure",132,48,6.4,58139,82.604699,478,103
"The Warriors",1979,"Action",92,NA,7.7,65589,22.490039,469,146
"Airplane!",1980,"Comedy",88,NA,7.8,146848,83.453539,508,134
"The Blues Brothers",1980,"Action",133,NA,7.9,131885,115.22989,408,156
"The Blue Lagoon",1980,"Adventure",104,NA,5.7,47088,58.853106,165,45
"Caddyshack",1980,"Comedy",98,NA,7.4,76013,39.846344,289,83
"Caligula",1979,"Drama",156,NA,5.2,25843,NA,313,133
"The Elephant Man",1980,"Biography",124,NA,8.2,147036,26.020641,420,149
"Star Wars: Episode V - The Empire Strikes Back",1980,"Action",124,79,8.8,709821,549.265501,1229,228
"Flash Gordon",1980,"Action",111,63,6.4,34416,27.153545,296,135
"The Fog",1980,"Horror",89,NA,6.8,42300,21.448782,390,265
"Friday the 13th",1980,"Horror",95,35,6.5,74176,39.754601,750,194
"The Gods Must Be Crazy",1980,"Action",109,NA,7.3,40692,30.031783,162,39
"Ordinary People",1980,"Drama",124,85,7.9,32484,54.766923,314,71
"Raging Bull",1980,"Biography",129,92,8.3,213488,23.402427,593,191
"Scanners",1981,"Horror",103,60,6.8,31928,14.225876,196,132
"The Shining",1980,"Horror",146,61,8.4,541114,46.520613,1847,360
"Superman II",1980,"Action",127,87,6.8,68572,108.185706,293,140
"Time Bandits",1981,"Adventure",116,NA,7,42798,42.368025,202,150
"An American Werewolf in London",1981,"Comedy",97,60,7.6,58123,30.565292,400,248
"Das Boot",1981,"Adventure",149,86,8.4,152788,11.487676,505,111
"Chariots of Fire",1981,"Drama",125,NA,7.3,36661,59.303359,243,94
"Conan the Barbarian",1982,"Adventure",129,43,6.9,106451,68.851475,404,192
"Clash of the Titans",1981,"Adventure",118,NA,6.9,30926,41.092328,208,103
"Escape from New York",1981,"Action",99,NA,7.2,82303,25.244626,343,250
"Excalibur",1981,"Adventure",140,NA,7.4,43672,34.971136,394,113
"For Your Eyes Only",1981,"Action",127,NA,6.8,65583,54.812802,311,83
"The Fox and the Hound",1981,"Animation",83,NA,7.3,57742,63.456988,121,82
"Gallipoli",1981,"Adventure",110,65,7.5,28364,5.732587,145,55
"Friday the 13th Part 2",1981,"Horror",87,NA,6,35584,21.722776,437,165
"Halloween II",1981,"Horror",92,44,6.5,46325,25.533818,561,197
"History of the World: Part I",1981,"Comedy",92,NA,6.9,33668,31.672907,145,48
